"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","773",".uncheck() - uncheck a checkbox element","Actions","2026-05-23","passed","2026-05-23","","","",""
"","113",".debug() - enable or disable debugging","Cypress APIs","2026-05-23","passed","2026-05-23","","Cypress.Cookies","",""
"","81","cy.title() - get the title","Window","2026-05-23","passed","2026-05-23","","","",""
"","428",".submit() - submit a form","Actions","2026-05-23","passed","2026-05-23","","","",""
"","607","best practices - selecting elements","Querying","2026-05-23","passed","2026-05-23","","","",""
"","241","cy.get() - query DOM elements","Querying","2026-05-23","passed","2026-05-23","","","",""
"","91","cy.root() - query the root DOM element","Querying","2026-05-23","passed","2026-05-23","","","",""
"","92","Get environment variables","Cypress APIs","2026-05-23","passed","2026-05-23","","Cypress.env()","",""
"","83","Get underlying OS name","Cypress APIs","2026-05-23","passed","2026-05-23","","Cypress.platform","",""
"","166","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-05-23","passed","2026-05-23","","","",""
"","383","cy.request() - save response in the shared test context","Network Requests","2026-05-23","passed","2026-05-23","","","",""
"","179","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-05-23","passed","2026-05-23","","","",""
"","90",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","214",".add() - create a custom command","Cypress APIs","2026-05-23","passed","2026-05-23","","Cypress.Commands","",""
"","187",".rightclick() - right click on a DOM element","Actions","2026-05-23","passed","2026-05-23","","","",""
"","154","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-05-23","passed","2026-05-23","","","",""
"","96","yields the original subject without return","Connectors","2026-05-23","passed","2026-05-23","",".then()","",""
"","1078","cy.go() - go back or forward in the browser's history","Navigation","2026-05-23","passed","2026-05-23","","","",""
"","116","Get and set configuration options","Cypress APIs","2026-05-23","passed","2026-05-23","","Cypress.config()","",""
"","264","can filter for completed tasks","example to-do app","2026-05-23","passed","2026-05-23","","with a checked task","",""
"","126",".scrollIntoView() - scroll an element into view","Actions","2026-05-23","passed","2026-05-23","","","",""
"","98","yields the returned value to the next command","Connectors","2026-05-23","passed","2026-05-23","",".then()","",""
"","98",".parents() - get parent DOM elements from DOM elements","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","1089","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-05-23","passed","2026-05-23","","","",""
"","1621","retries the should callback until assertions pass","Assertions","2026-05-23","passed","2026-05-23","","Explicit Assertions","",""
"","105","cy.setCookie() - set a browser cookie","Cookies","2026-05-23","passed","2026-05-23","","","",""
"","204","cy.hash() - get the current URL hash","Location","2026-05-23","passed","2026-05-23","","","",""
"","108",".find() - get descendant DOM elements of the selector","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","409","cy.request() - pass result to the second request","Network Requests","2026-05-23","passed","2026-05-23","","","",""
"","95",".prevAll() - get all previous sibling DOM elements","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","132","can throw any error","Assertions","2026-05-23","passed","2026-05-23","","Explicit Assertions","",""
"","522","can add new todo items","example to-do app","2026-05-23","passed","2026-05-23","","","",""
"","99",".next() - get next sibling DOM element","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","95",".nextAll() - get all next sibling DOM elements","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","594","cy.intercept() - route responses to matching requests","Network Requests","2026-05-23","passed","2026-05-23","","","",""
"","156","expect - make an assertion about a specified subject","Assertions","2026-05-23","passed","2026-05-23","","Explicit Assertions","",""
"","4441","cy.wait() - wait for a specific amount of time","Waiting","2026-05-23","passed","2026-05-23","","","",""
"","357","cy.reload() - reload the page","Navigation","2026-05-23","passed","2026-05-23","","","",""
